,user,Date Created,Tweet
101,ChibuikeAmaechi,2019-11-07 11:26:48+00:00,"Do you know we have sent over 150 persons to two universities in China, funded by the Chinese government to study Railway Engineering? In four years they will graduate and those who will do Masters and PhD will do that, come back and teach in the Transportation University."
102,ChibuikeAmaechi,2019-11-06 16:22:41+00:00,"Update: The ground breaking of the Wagon Assembly Plant in Kajola, Ogun State will now hold on Nov 9, 2019. We are also waiting for the President to give us a date he'll lay the foundation stone of the University of Transportation in Daura. #NextLevel #LocalisingRailwayTechnology"
103,ChibuikeAmaechi,2019-11-05 15:28:50+00:00,"Production at the Plant will include assembly of railway rolling stocks. We'll procure the 1st batch of Wagons from the production line for the Lagos-Ibadan freight train operations. As its capacity increases, Coaches and Wagons will be produced there."
104,ChibuikeAmaechi,2019-11-05 15:26:12+00:00,"We have since signed the agreement, we are set. The factory will be situated in Kajola, Ogun State along the Lagos-Ibadan railway corridor. The ground breaking ceremony is scheduled for the 8th of November, 2019. Vice President, Prof. Yemi Osibanjo will lay the foundation stone."
105,ChibuikeAmaechi,2019-11-05 15:24:18+00:00,"As part of our resolve to bring home rail technology and have our own people produce, develop and maintain rail transport equipment and facilities, we have convinced our Chinese partners to establish a Wagon Assembly Plant here in Nigeria."
106,ChibuikeAmaechi,2019-10-29 18:38:52+00:00,"Today in Lagos, I harped on the importance of training &amp; professionalism in freight forwarding, when I declared open a 2-day Sensitization Workshop on Freight Forwarding as a Career. Only those who obey the law guiding freight forwarding will be allowed to operate. https://t.co/vktEejv75w"
107,ChibuikeAmaechi,2019-10-28 23:00:25+00:00,"Behind a successful man, there's a woman! Today, madam followed me to see for the first time the ongoing work on the Lagos - Ibadan rail line. She saw why I spend so much time on this project site &amp; had plenty to say about the project. Her support is unquantifiable. https://t.co/RoFzBSC5QO"
108,ChibuikeAmaechi,2019-10-28 14:30:33+00:00,We hope to test-run and start free rides at the end of next month so people travelling along this route during the end of year holiday season can enjoy the trains. https://t.co/2aBXjVSP4a
109,ChibuikeAmaechi,2019-10-28 14:02:22+00:00,Completion of the 8 minor stations along the Lagos-Ibadan rail line is also part of their mandate while they take a little more time to complete the 4 major stations. https://t.co/Cb1BgetbLX
110,ChibuikeAmaechi,2019-10-28 13:38:16+00:00,I just mandated our Chinese contractors on the Lagos-Ibadan rail line to ensure completion of at least one of the tracks up to Ebute Metta station by the end of November. They have to triple their output to makeup for the rainy days. https://t.co/yDp5QqcvQq
111,ChibuikeAmaechi,2019-10-18 16:41:30+00:00,"After their training, the plan is to have these Nigerians run &amp; maintain the trains &amp; our rail lines. I met some of them in China on Wednesday &amp; they are very eager to come back home to manage &amp; maintain the new facilities &amp; trains. Building #NextLevel human capacity. 2/2 https://t.co/ByW4BSrVoV"
112,ChibuikeAmaechi,2019-10-18 16:41:07+00:00,I have seen some comments here on maintenance &amp; sustainability of the new trains. We are taking that issue seriously &amp; have made plans for it. One of the many things we are doing is that we have sent Nigerians to China for training &amp; to understudy the Chinese manufacturers.1/2
113,ChibuikeAmaechi,2019-10-17 20:34:37+00:00,"The 1st batch of new trains built for us by CRRC- 2 motored cars and 4 Locomotives. I have taken delivery &amp; they would soon be in Nigeria. Work is ongoing on the 2nd batch of trains. The plan is to connect &amp; unite the entire country by rail. Together, let’s ride to the #NextLevel https://t.co/8uJnf1M4NR"
114,ChibuikeAmaechi,2019-10-17 18:12:47+00:00,*We heard your cries*
115,ChibuikeAmaechi,2019-10-17 16:26:29+00:00,"Yesterday, I test-ran and took delivery of more trains in China to service the Abuja-Kaduna and Lagos-Ibadan rail lines. For those complaining that the trains are not enough, especially for the Abuja-Kaduna route, we heard cries, the trains are coming! https://t.co/u3cCWvWm7G"
116,ChibuikeAmaechi,2019-10-10 21:52:40+00:00,"Earlier today we signed a new contract with CRCCI of China to connect Abuja to Warri/Itakpe by rail, with a link to Lokoja. The contract also covers the completion of the rail line from Warri Central Station to the new Warri Sea Port. https://t.co/h97lZfj8YQ"
117,ChibuikeAmaechi,2019-10-01 10:21:18+00:00,"Yes, we’ve our challenges like every other nation. We’ve our differences like most countries do. But our diversity remains one of our biggest strengths. With love and unity, I see greatness ahead, a great,prosperous 🇳🇬.Let’s join hands to build this🇳🇬

Happy Independence Day 🇳🇬"
118,ChibuikeAmaechi,2019-02-27 13:38:07+00:00,https://t.co/zgZBC0IbZk
119,ChibuikeAmaechi,2019-02-23 13:30:45+00:00,The 4 APC chieftains were killed in the LGA of PDP National Chairman. Heard their bodies were even dragged on the streets... https://t.co/nX9pmJkd1d
